Date,Open,High,Low,Close
01/11/2022,33.9,33.9,33.9,33.9
02/11/2022,33.41,33.41,33.41,33.41
03/11/2022,32.99,32.99,32.99,32.99
04/11/2022,32.72,32.72,32.72,32.72
07/11/2022,32.59,32.59,32.59,32.59
08/11/2022,32.67,32.67,32.67,32.67
09/11/2022,32.48,32.48,32.48,32.48
10/11/2022,32.34,32.34,32.34,32.34
11/11/2022,32.28,32.28,32.28,32.28
14/11/2022,32.09,32.09,32.09,32.09
15/11/2022,32.11,32.11,32.11,32.11
16/11/2022,32.46,32.46,32.46,32.46
17/11/2022,32.45,32.45,32.45,32.45
18/11/2022,32.12,32.12,32.12,32.12
21/11/2022,32.02,32.02,32.02,32.02
22/11/2022,32.07,32.07,32.07,32.07
23/11/2022,31.27,31.27,31.27,31.27
24/11/2022,31.27,31.27,31.27,31.27
25/11/2022,31.21,31.21,31.21,31.21
28/11/2022,30.35,30.35,30.35,30.35
29/11/2022,30.38,30.38,30.38,30.38
30/11/2022,30.79,30.79,30.79,30.79
01/12/2022,31.34,31.34,31.34,31.34
02/12/2022,31.33,31.33,31.33,31.33
05/12/2022,31.43,31.43,31.43,31.43
06/12/2022,31.3,31.45,31.3,31.45
07/12/2022,31.55,31.55,31.55,31.55
08/12/2022,31.43,31.43,31.43,31.43
09/12/2022,31.81,31.81,31.81,31.81
12/12/2022,31.98,31.98,31.98,31.98
13/12/2022,32.02,32.02,32.02,32.02
14/12/2022,31.65,32.17,31.65,32.17
15/12/2022,32.27,32.27,32.27,32.27
16/12/2022,32.23,32.23,32.23,32.23
19/12/2022,32.12,32.18,32.05,32.18
20/12/2022,32.42,32.42,32.42,32.42
21/12/2022,32.41,32.41,32.41,32.41
22/12/2022,32.47,32.47,32.47,32.47
23/12/2022,32.46,32.46,32.46,32.46
27/12/2022,33,33,32.83,32.83
28/12/2022,32.05,32.05,32.05,32.05
29/12/2022,32.3,32.3,32.3,32.3
30/12/2022,32.49,32.49,32.42,32.42
02/01/2023,32.42,32.42,32.42,32.42
03/01/2023,31.77,31.77,31.77,31.77
04/01/2023,31.44,31.44,31.44,31.44
05/01/2023,31.43,31.43,31.43,31.43
06/01/2023,31.58,31.58,31.58,31.58
09/01/2023,31.95,31.95,31.95,31.95
10/01/2023,31.84,31.84,31.84,31.84
11/01/2023,31.92,31.92,31.92,31.92
12/01/2023,32.22,32.22,32.22,32.22
13/01/2023,32.32,32.32,32.32,32.32
16/01/2023,32.32,32.32,32.32,32.32
17/01/2023,32.61,32.61,32.61,32.61
18/01/2023,32.39,32.39,32.39,32.39
19/01/2023,32.36,32.36,32.36,32.36
20/01/2023,32.33,32.33,32.33,32.33
23/01/2023,32.2,32.2,32.2,32.2
24/01/2023,32.16,32.16,32.16,32.16
25/01/2023,31.95,31.95,31.82,31.89
26/01/2023,31.95,31.95,31.95,31.95
27/01/2023,31.92,31.92,31.74,31.74
30/01/2023,31.7,31.7,31.47,31.47
31/01/2023,31.3,31.3,31.3,31.3
01/02/2023,31.25,31.34,31.25,31.34
02/02/2023,31.8,31.8,31.79,31.79
03/02/2023,31.82,31.94,31.82,31.94
06/02/2023,31.76,31.76,31.76,31.76
07/02/2023,31.61,31.61,31.61,31.61
08/02/2023,31.7,31.74,31.58,31.58
09/02/2023,31.5,31.5,31.43,31.43
10/02/2023,31.43,31.43,31.43,31.43
13/02/2023,31.46,31.46,31.46,31.46
14/02/2023,31.47,31.47,31.47,31.47
15/02/2023,31.42,31.42,31.42,31.42
16/02/2023,31.6,31.6,31.57,31.57
